date,NDCI_mean,NDTI_mean,FAI_mean
2023-08-03,0.23261023056444846,-0.4299255624433232,0.05151498238827237
2023-08-06,0.11546803849061872,-0.20410457105388669,0.038751620394399146
2023-08-13,0.1269521971923087,-0.3017356461796167,0.05408771312747107
2023-08-21,0.14890300580485405,-0.2913792081386442,0.0503142271061323
2023-08-26,0.19213684703334077,-0.4126197996135057,0.04056893229555476
2023-09-10,0.1839410536686102,-0.36292314755224736,0.040811488254957215
2023-11-01,0.08486056311259244,-0.26334771266047197,0.047441038730488196
2023-11-14,0.1604742509909804,-0.44438933030362077,0.043365211545673334
2023-11-19,0.13379295749881914,-0.25693129876306814,0.03640956553017122
2023-11-21,0.10299348416556649,-0.3782357633988682,0.034757044587025984
2023-11-29,0.0636347579633823,-0.11665947259395859,0.03861885789352052
